Quality,Angle (°),Angle (rad),Distance,x,y
15,"193,59375","3,37874869791667",1074,"-252,324729505978","-1043,93880609916"
15,"194,9375","3,40220086805556","1084,75","-279,505663117725","-1048,12172326745"
15,"196,359375","3,42701653645833",1108,"-311,973144855673","-1063,17296659051"
14,"202,09375","3,52709730902778","7026,25","-2642,05832298699","-6510,58498757486"
15,"203,515625","3,55191297743056","6861,5","-2737,07350533344","-6291,94809867355"
15,"206,46875","3,60345321180556","840,75","-374,650387039044","-752,660381574249"
15,"207,890625","3,62826888020833","815,5","-381,401700195493","-720,8141182635"
15,"209,234375","3,65172105034722",806,"-393,561176141314","-703,381546981626"
15,"210,625","3,67599131944444","806,25","-410,642183443035","-693,838640951293"
15,"212,046875","3,70080698784722","807,75","-428,527832688647","-684,707206849155"
15,"213,34375","3,72344105902778","819,25","-450,234503061259","-684,440979744186"
15,"214,703125","3,74716592881944","835,25","-475,452283256902","-686,72242488927"
14,"215,953125","3,76898190104167","863,5","-506,903161853067","-699,057533042427"
14,"217,359375","3,79352486979167",901,"-546,657856447139","-716,216578965204"
15,"218,65625","3,81615894097222","925,5","-578,029035673875","-722,795049732585"
15,"219,9375","3,8385203125","943,75","-605,759899698213","-723,684327878952"
15,"221,296875","3,86224518229167","984,5","-649,64704222347","-739,728984514124"
15,"224,28125","3,91433081597222","4168,25","-2909,84858291203","-2984,47470872595"
15,"225,703125","3,939146484375","4031,25","-2884,96278805479","-2815,66444627891"
9,"230,90625","4,02995546875",1022,"-793,113128078208","-644,55842719648"
15,"236,765625","4,13221783854167","3513,75","-2938,79103909528","-1926,12208622229"
15,"238,46875","4,16194210069444",2054,"-1750,60542363655","-1074,38198548481"
15,"239,859375","4,18621236979167","1948,5","-1684,93343956392","-978,596727073676"
15,"243,546875","4,25056948784722","5505,5","-4928,7617375908","-2453,12820375555"
15,"244,90625","4,27429435763889","5300,5","-4799,92923834874","-2248,55054576161"
15,"247,6875","4,32283489583333","5167,5","-4780,34314763726","-1962,49220147178"
15,"249,59375","4,35610425347222",1721,"-1612,91974823652","-600,275674793376"
15,"253,234375","4,41964327256945",4446,"-4256,84547767778","-1283,03646837268"
15,"255,125","4,45263993055556","1753,5","-1694,67789931441","-450,365482220068"
15,"256,5","4,4766375","1747,5","-1699,162559447","-408,170119648066"
15,"257,875","4,50063506944445","1783,75","-1743,90778630784","-374,899580361057"
15,"259,3125","4,5257234375",1629,"-1600,70185351414","-302,315358783506"
15,"260,71875","4,55026640625","1621,5","-1600,23710030405","-261,73168094539"
15,"262,109375","4,57453667534722","1608,75","-1593,48844559537","-221,068171056048"
15,"263,515625","4,59907964409722","1599,75","-1589,49138324325","-180,878979142025"
15,"264,84375","4,62225911458333","1589,25","-1582,79931762806","-143,045037020367"
15,"266,21875","4,64625668402778",1589,"-1585,52653585049","-105,007638360058"
15,"267,609375","4,670526953125","1587,75","-1586,35899332313","-66,4470225278644"
15,"268,984375","4,69452452256944","1580,5","-1580,24780722854","-28,2332737986444"
15,"270,359375","4,71852209201389","1588,25","-1588,2201290355","9,74085347767914"
10,"272,03125","4,74770095486111","1211,5","-1210,74474727996","42,7715668870768"
15,"272,5625","4,75697274305556","4171,5","-4167,35481660476","185,919559275379"
15,"273,9375","4,7809703125","4171,5","-4161,69372976745","285,86281607498"
15,"275,25","4,80387708333333","4212,5","-4194,88282701309","384,856229819231"
15,"276,625","4,82787465277778","4239,25","-4211,01209231382","488,485128624002"
15,278,"4,85187222222222",4246,"-4204,76273777297","590,327298230357"
15,"279,359375","4,87559709201389",4236,"-4179,70819165716","688,28441257521"
15,"280,734375","4,89959466145833","4256,25","-4181,88536423375","792,148258161015"
15,"282,109375","4,92359223090278","4254,5","-4159,96236072249","891,89876520387"
15,"283,484375","4,94758980034722",4275,"-4157,29882841882","996,238651743416"
15,"284,828125","4,97104197048611","4692,5","-4536,40582391848","1200,2409969329"
15,"286,21875","4,99531223958333","4795,75","-4605,08764019398","1338,80016755026"
15,"287,578125","5,019037109375","4826,25","-4601,10898683659","1456,87513320516"
15,"288,953125","5,04303467881945",4866,"-4602,42295101657","1579,76548258149"
15,"290,328125","5,06703224826389","4899,5","-4594,60620122407","1701,38005915003"
11,"291,71875","5,09130251736111","4323,5","-4016,82151507609","1599,31146623221"
12,"294,4375","5,13875225694444","4863,75","-4428,32657146444","2011,46410332424"
15,"295,8125","5,16274982638889",5090,"-4582,47654872218","2215,62828119052"
15,"297,203125","5,18702009548611","4742,5","-4218,27052996381","2167,37167694857"
15,"298,578125","5,21101766493056","4804,5","-4219,5001411987","2297,61589662505"
15,"299,9375","5,23474253472222","4890,5","-4238,33883013413","2439,97422342477"
15,"301,296875","5,25846740451389",4920,"-4204,47317775164","2555,15269554817"
15,"302,6875","5,28273767361111","4986,75","-4197,41109567642","2692,4738914969"
15,"304,0625","5,30673524305556","5080,25","-4209,06204520286","2844,77358714762"
15,"305,90625","5,33891380208333","1946,5","-1576,80127068095","1141,29750844332"
15,"307,21875","5,36182057291667","2084,75","-1660,35256919032","1260,7188062701"
15,"308,59375","5,38581814236111","2018,75","-1578,03184247006","1259,03418009621"
15,"309,96875","5,40981571180556","1966,5","-1507,31713377077","1262,97953595499"
15,"311,375","5,43435868055556","1915,25","-1437,40562340983","1265,72020458307"
15,"312,765625","5,45862894965278","1913,75","-1405,16457098898","1299,21191148225"
15,"314,109375","5,48208111979167","1959,25","-1406,98630474875","1363,46987526291"
15,"315,4375","5,50526059027778","2010,5","-1410,9740448059","1432,2229208067"
15,"316,765625","5,52844006076389","2261,75","-1549,53197405166","1647,56296507647"
15,"318,125","5,55216493055556","2318,25","-1547,73242742126","1725,92218700864"
15,"319,515625","5,57643519965278","2382,25","-1546,95153063915","1811,64456347077"
15,"320,859375","5,59988736979167","2449,5","-1546,50158874282","1899,57444866368"
15,"322,21875","5,62361223958333","2525,5","-1547,5746848934","1995,78627229398"
15,"323,640625","5,64842790798611","2760,5","-1636,92732406398","2222,79760341168"
15,"325,015625","5,67242547743056","2701,25","-1549,14009917879","2212,89776438414"
15,"326,421875","5,69696844618056","2666,75","-1475,2820610353","2221,50813702931"
15,"327,828125","5,72151141493056","2607,5","-1388,76406131839","2206,89615342237"
15,"329,203125","5,745508984375",2568,"-1315,17954485646","2205,65789840382"
15,"330,609375","5,770051953125","2539,25","-1246,5418552235","2212,22150013871"
